platform,appId,title,store_url,developer,genres,contentRating,price,free,score,reviews,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
both,com.foyer.merlin,Merlin AI: AI Chat Assistant,https://apps.apple.com/us/app/merlin-ai-ai-chat-assistant/id6453692447?uo=4,"Foyer Tech, Inc","Productivity, Utilities",17+,0,True,4.6458,655,general_purpose,True,https://merlin.foyer.work,True,Google,True,self-declaration (date of birth),False,True,No paid subscription - free,Free,en
ios,com.apps4fun.ChatAI,Chat AI - Personal Assistant,https://apps.apple.com/us/app/chat-ai-personal-assistant/id1667023726?uo=4,David Azancot,"Productivity, Lifestyle",4+,0,True,4.61322,1135,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,"bn, km, hr, da, nl, en, fi, fr, de, hi, it, ja, ko, pt, ru"
ios,com.aimlust.aifans,AiFans-AI Companion,https://apps.apple.com/us/app/aifans-ai-companion/id6747963341?uo=4,"Morphic Mate Co., Limited","Entertainment, Utilities",17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.feynmanapps.aitales,AI Tales - Dungeon Story RPG,https://apps.apple.com/us/app/ai-tales-dungeon-story-rpg/id1548458291?uo=4,Dmytro Ishchenko,"Games, Roleplaying, Adventure, Books",12+,0,True,4.54216,415,other,False,,True,Apple,False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.DelusionalEntertainment.Joii,Joii: Selfcare & AI Companion,https://apps.apple.com/us/app/joii-selfcare-ai-companion/id6748971059?uo=4,Delusional,"Health & Fitness, Lifestyle",17+,0,True,4.53125,32,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.takstar.live,Peameet-Emotional AI Companion,https://apps.apple.com/us/app/peameet-emotional-ai-companion/id6751489392?uo=4,GUFRON FAKIH,Lifestyle,17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,PORGY.ChatterBots,ChatterBots - AI Companion App,https://apps.apple.com/us/app/chatterbots-ai-companion-app/id6748527544?uo=4,Alaster Allum,"Entertainment, Lifestyle",17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
both,ai.szl.mobileapp,Campus - AI Learning Companion,https://apps.apple.com/us/app/campus-ai-learning-companion/id6449232300?uo=4,"Sizzle AI, Inc.","Education, Productivity",4+,0,True,4.82986,2451,companion,False,,True,Apple,False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.loomanexgen.loomaai,Looma AI Chatbot Companion,https://apps.apple.com/us/app/looma-ai-chatbot-companion/id6748575351?uo=4,Looma Nexgen LLP,"Productivity, Utilities",4+,0,True,5,5,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,bard.chat.with.ai.chatbot,Geni - Virtual AI Companion,https://apps.apple.com/us/app/geni-virtual-ai-companion/id6468944359?uo=4,Ajay Gorasiya,Utilities,4+,0,True,0,0,companion,False,,True,Apple,False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,com.shortcutgamez.zoeyouraicompanion,Zoe: Your AI Companion,https://apps.apple.com/us/app/zoe-your-ai-companion/id6462269586?uo=4,"Infinilearn, Inc","Health & Fitness, Lifestyle",4+,0,True,5,5,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.creatorsagi.creator,Creators AGI: AI Companions,https://apps.apple.com/us/app/creators-agi-ai-companions/id6508175444?uo=4,CreatorsAGI,"Lifestyle, Productivity",12+,0,True,5,5,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,dev.softwarex.whisper,Chatbot AI & Assistant - Neo,https://apps.apple.com/us/app/chatbot-ai-assistant-neo/id6446618598?uo=4,Rodeo Planet,"Productivity, Utilities",4+,0,True,4.39016,305,general_purpose,False,,True,"email/password, Google, Apple",False,,False,True,,Free,en
ios,com.unltdai.chat,Artificial Intelligence: UNLTD,https://apps.apple.com/us/app/artificial-intelligence-unltd/id6504840242?uo=4,Charles Campton,Productivity,4+,0,True,4.57307,349,other,False,,True,"email/password, Google, Apple",False,,False,True,,Free,en
ios,space.amiai,Ami.ai Your AI Companion World,https://apps.apple.com/us/app/ami-ai-your-ai-companion-world/id6689519949?uo=4,Hiroki Nakamura,"Entertainment, Social Networking",9+,0,True,5,2,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, en, fr, de, ja, ko, zh, es"
ios,com.ios.compano,Compano AI - Chat & Roleplay,https://apps.apple.com/us/app/compano-ai-chat-roleplay/id6736379430?uo=4,Blessed Global Pte Ltd,Entertainment,17+,0,True,4.15789,19,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.lekskeks.reflectai,AI Companion NPC,https://apps.apple.com/us/app/ai-companion-npc/id1575792926?uo=4,Alexey Primechaev,"Health & Fitness, Productivity",4+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,FrissonLabs.BroadcastTest,Oto - AI Voice Companion,https://apps.apple.com/us/app/oto-ai-voice-companion/id6754143501?uo=4,"Frisson Labs, CO.","Entertainment, Games",12+,0,True,3.53846,13,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.auhdxlzzub.hicco,Hiico - AI Friend Chat,https://apps.apple.com/us/app/hiico-ai-friend-chat/id6503241374?uo=4,VIRGO HONGKONG LIMITED,Entertainment,17+,0,True,3.38596,57,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.HMEPIqDPlZgA.Theo,Theo: AI Bible Companion,https://apps.apple.com/us/app/theo-ai-bible-companion/id6758956650?uo=4,BRADEN ALEXANDER KYLE MYERS,Books,4+,0,True,5,1,other,False,,True,"email/password, Google, Apple",False,,False,True,,Free,en
ios,com.heypocket.app,Pocket - AI Personal Assistant,https://apps.apple.com/us/app/pocket-ai-personal-assistant/id6746845735?uo=4,"Open Vision Engineering, Inc",Utilities,4+,0,True,4.83736,953,other,False,,True,Phone,False,,False,True,,Free,en
ios,com.theconversationai,ChatPub: All-In-One AI Chat,https://apps.apple.com/us/app/chatpub-all-in-one-ai-chat/id6445813528?uo=4,"Circo, Inc.","Productivity, Business",4+,0,True,4.58147,626,general_purpose,False,,True,Google,False,,False,True,,Free,en
ios,com.aiby.chat,ChatOn AI - Chat Bot Assistant,https://apps.apple.com/us/app/chaton-ai-chat-bot-assistant/id1661308505?uo=4,AIBY,"Productivity, Utilities",12+,0,True,4.70303,270423,general_purpose,True,https://chaton.ai,True,"email/password, Google, Apple",False,,False,False,"Premium: multiple AI models, image/video tools, real-time search",$9.99/month,"en, es, fr, de, ja, ko, zh, pt, it, ru"
ios,Barrys.AICompanion,BuddyBot - AI Companion,https://apps.apple.com/us/app/buddybot-ai-companion/id6751270165?uo=4,Barry Juans,"Entertainment, Education",4+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.dogtownmedia.merlinai,Merlin AI - Chatbot Assistant,https://apps.apple.com/us/app/merlin-ai-chatbot-assistant/id1658585780?uo=4,"DogTown Media, LLC","Productivity, Social Networking",4+,0,True,4.40057,352,general_purpose,False,,True,"Apple, Google",False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.joyolabs.sesamify,Talkit AI: Chat with Character,https://apps.apple.com/us/app/talkit-ai-chat-with-character/id6743435993?uo=4,JoyoLabs Inc.,"Productivity, Utilities",17+,0,True,3.8125,32,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,GoldenBlue.QuestionAi,Ai Homework Helper: Scan Solve,https://apps.apple.com/us/app/ai-homework-helper-scan-solve/id6466178934?uo=4,hossam sherraa,Education,4+,0,True,4.70326,18107,other,False,,True,"email/password, Google, Apple",False,,False,True,,Free,en
ios,avira.ai.app,Avira - AI Parenting Companion,https://apps.apple.com/us/app/avira-ai-parenting-companion/id6758630644?uo=4,Avira AI LLC,Productivity,12+,0,True,5,7,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.anuttacon.sw,Whispers from the Star,https://apps.apple.com/us/app/whispers-from-the-star/id6743071754?uo=4,ANUTTACON LLC,"Games, Roleplaying, Adventure",12+,4.99,False,4.40217,92,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,ai.povchat.characters,PovChat: AI characters to chat,https://apps.apple.com/us/app/povchat-ai-characters-to-chat/id6744286631?uo=4,Immerse AI,"Entertainment, Social Networking",17+,0,True,4.47825,23,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,DSDevelopment.Colloqio,AI Companion Colloqio Chat Bot,https://apps.apple.com/us/app/ai-companion-colloqio-chat-bot/id6756658665?uo=4,Daniel Spencer,"Productivity, Entertainment",4+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,visionaryai.app.com,AI Chat - Invisioned,https://apps.apple.com/us/app/ai-chat-invisioned/id6473903841?uo=4,Herrs J Holdens LLC,Productivity,17+,0,True,4.70587,102,general_purpose,False,,True,Tiktok,True,self-declaration (date of birth),False,True,,Free,en
ios,ai.chat.plus.chatbot,Chat AI App - AI Bot Agency,https://apps.apple.com/us/app/chat-ai-app-ai-bot-agency/id6445886484?uo=4,"Kodeon, Inc.","Utilities, Reference",9+,0,True,4.69336,587,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.onuro.onuro,Onuro,https://apps.apple.com/us/app/onuro/id6739381897?uo=4,Onuro,Productivity,17+,0,True,5,6,other,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),False,True,,Free,en
ios,SHAYZ-Productions.Red-Angel,Red Angel | Private Offline AI,https://apps.apple.com/us/app/red-angel-private-offline-ai/id6759326202?uo=4,Syed Shayan Ali Hashmi,"Productivity, Education",12+,0,True,3,1,other,False,,True,"Apple, Phone",False,,False,True,,Free,en
ios,com.brantley.Storybook,Author AI: Novel Writing,https://apps.apple.com/us/app/author-ai-novel-writing/id1670723178?uo=4,Murphy Brantley,"Utilities, Books",17+,0,True,4.532,3359,other,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"nl, fr, de, it, ja, ko, pt, ru, es"
ios,com.aimi.chats,Aimi AI: Chat With Soulful AI,https://apps.apple.com/us/app/aimi-ai-chat-with-soulful-ai/id6754311950?uo=4,MapsPeople Inc,Entertainment,17+,0,True,4.60571,525,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.seeai.chatbot,Seekee AI Browser & Search,https://apps.apple.com/us/app/seekee-ai-browser-search/id6758748106?uo=4,Raman Kathwal,Utilities,17+,0,True,4.34999,160,other,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),False,True,,Free,en
ios,com.turbofasttools.geniusai,Clever AI Hub - Pro AI Agents,https://apps.apple.com/us/app/clever-ai-hub-pro-ai-agents/id1667722375?uo=4,NEUROLIFY INC.,"Productivity, Entertainment",12+,0,True,4.68825,247,general_purpose,False,,True,"email/password, Google, Apple",False,,False,True,,Free,en
ios,kr.kumacompany.WarmUp,WarmUp – Workout AI Companion,https://apps.apple.com/us/app/warmup-workout-ai-companion/id1438594991?uo=4,YOUNG HOON JUNG,"Health & Fitness, Sports",4+,0,True,0,0,other,False,,True,Apple,False,,False,True,,Free,"en, ko"
ios,com.kickerai.app,Kicker - Your AI Friend,https://apps.apple.com/us/app/kicker-your-ai-friend/id6760602821?uo=4,"Companion Intelligence, Inc.","Productivity, Lifestyle",4+,0,True,0,0,companion,False,,True,"Google, Phone",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.weiblocks.mai,MAI: Virtual Companion Ai Vibe,https://apps.apple.com/us/app/mai-virtual-companion-ai-vibe/id6757317161?uo=4,Usama Latif,"Entertainment, Health & Fitness",17+,0,True,4,2,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,app.DreamKit.DreamKit,Arcana - AI Tarot Chat,https://apps.apple.com/us/app/arcana-ai-tarot-chat/id1572753006?uo=4,Sung Woo Chang,"Lifestyle, Entertainment",17+,0,True,4.75704,1313,other,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),False,True,,Free,en
ios,com.vurvey.vurbs,Vurbs,https://apps.apple.com/us/app/vurbs/id6717610689?uo=4,"Vurvey Labs, Inc","Lifestyle, Social Networking",4+,0,True,4.55556,9,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.connectinno.chataiultraapp,AI! Chatbot Agent－Ask & Chat,https://apps.apple.com/us/app/ai-chatbot-agent-ask-chat/id6479236079?uo=4,MATdev,"Productivity, Lifestyle",4+,0,True,4.4814,1344,general_purpose,False,,True,Phone,False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,org.atlas,Atlas: AI Study Companion,https://apps.apple.com/us/app/atlas-ai-study-companion/id6504261901?uo=4,"Triangle Labs, Inc.","Education, Productivity",4+,0,True,4.75959,886,companion,False,,True,email/password,False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.venuscloud.personachat,Persona Chat - AI Chatbot,https://apps.apple.com/us/app/persona-chat-ai-chatbot/id6480217280?uo=4,Venus Cloud Ltd,"Entertainment, Utilities",17+,0,True,4.53333,30,companion,False,,True,Discord,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.earnbuddy.app,Twineo: AI Digital Twin,https://apps.apple.com/us/app/twineo-ai-digital-twin/id6744677005?uo=4,OV Labs,Lifestyle,4+,0,True,4.73227,691,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,inc.flame.AuraMobileApp,Aura - AI Chat Companion,https://apps.apple.com/us/app/aura-ai-chat-companion/id6661020485?uo=4,Flame Industries,"Lifestyle, Productivity",17+,0,True,3.89362,47,companion,False,,True,Tiktok,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.amon.orai,Orai: AI Coach & Mentor,https://apps.apple.com/us/app/orai-ai-coach-mentor/id6751810096?uo=4,Amon Studio,"Lifestyle, Productivity",17+,0,True,4.74667,300,other,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),False,True,,Free,en
both,ai.hakko.HakkoAI,HakkoAI,https://apps.apple.com/us/app/hakkoai/id6476439115?uo=4,Hakko AI PTE LTD,Utilities,12+,0,True,3.95,20,companion,False,,True,Apple,False,,True,False,"Premium: unlimited messages, voice, exclusive content",$9.99/month,en
ios,com.chatbotai.chatgod,Gam.AI - AI Chat Bot Assistant,https://apps.apple.com/us/app/gam-ai-ai-chat-bot-assistant/id6720724558?uo=4,鑫 宋,"Utilities, Productivity",17+,0,True,4.55513,263,general_purpose,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"hr, cs, da, nl, en, fi, fr, de, el, he, hi, hu, id, it, ja"
ios,com.overchat.app,Overchat: Ask AI & Chat,https://apps.apple.com/us/app/overchat-ask-ai-chat/id6747201936?uo=4,SpaceshipIntelligence,"Productivity, Education",9+,0,True,5,4,general_purpose,False,,True,Phone,False,,False,True,,Free,en
ios,com.gg.app.prom,GG AI,https://apps.apple.com/us/app/gg-ai/id6739495394?uo=4,Ruslan Muxsinov,Entertainment,12+,0,True,4.5,4,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ru"
ios,com.foldingsky.cumbersome,Cumbersome: AI LLM API Client,https://apps.apple.com/us/app/cumbersome-ai-llm-api-client/id6753016821?uo=4,Folding Sky Co,"Productivity, Developer Tools",17+,0,True,4.9,10,other,False,,True,"Google, Phone",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,apify.privateai.macos.prod,Enclave - Local AI Assistant,https://apps.apple.com/us/app/enclave-local-ai-assistant/id6476614556?uo=4,Piotr Gorzelany,"Productivity, Entertainment",17+,0,True,4.70305,788,other,False,,True,"Apple, Google",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, fr, de, hi, ja, pl, es"
ios,com.bananaworld.seele,Seele: Sexy AI Lover,https://apps.apple.com/us/app/seele-sexy-ai-lover/id6447505481?uo=4,BANANAWORLD K.K.,"Entertainment, Social Networking",17+,0,True,3.13889,540,companion,False,,True,"Apple, email/password",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, ja, zh"
ios,com.znayer.QuranAI,QuranAI Companion,https://apps.apple.com/us/app/quranai-companion/id6741781723?uo=4,Zain Nayer,"Lifestyle, Books",4+,0,True,5,5,other,False,,True,"email/password, Google, Apple",False,,False,True,,Free,en
ios,com.poslavu.aibot,MARTY - AI Companion,https://apps.apple.com/us/app/marty-ai-companion/id6752260419?uo=4,Lavu,"Business, Productivity",4+,0,True,5,2,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.viatravail.charavia,Charavia – AI Story Companions,https://apps.apple.com/us/app/charavia-ai-story-companions/id6758110581?uo=4,"Rehabilitation Management, Inc.",Entertainment,17+,0,True,3.5,2,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, fr, de, it, ja, ko, pt, es"
both,ai.lizlis.app,lizlis: AI Character Chat,https://apps.apple.com/us/app/lizlis-ai-character-chat/id6754000327?uo=4,"Excellia, LLC",Entertainment,12+,0,True,4.55556,27,companion,False,,True,Apple,False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ja, ko, pt, es"
both,com.xverse.aistory,Saylo: Your AI Creative World,https://apps.apple.com/us/app/saylo-your-ai-creative-world/id6479835900?uo=4,X Original,Entertainment,17+,0,True,4.22738,862,companion,False,,True,"Discord, Tiktok, Twitter",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ja, pt, zh, es"
ios,com.redpandaclub.quickgpt,Short Circuit: AI Assistant,https://apps.apple.com/us/app/short-circuit-ai-assistant/id1638522784?uo=4,Red Panda Club Inc.,"Productivity, Reference",17+,0,True,4.73228,127,other,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.stella9527.stella,Stella-AI,https://apps.apple.com/us/app/stella-ai/id6757468766?uo=4,"Cheng Zhouting Network Technology Co., Limited","Lifestyle, Productivity",17+,0,True,0,0,other,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),False,True,,Free,en
ios,ai.studley.app,Studley AI: Notes & Flashcards,https://apps.apple.com/us/app/studley-ai-notes-flashcards/id6744783834?uo=4,Studley AI Inc.,"Education, Productivity",4+,0,True,4.67421,2873,other,False,,True,Google,False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"af, sq, ar, hy, bn, bg, ca, hr, cs, da, nl, et, fi, fr, de"
ios,DeepDev.Apologist,Apologist – Bible AI Companion,https://apps.apple.com/us/app/apologist-bible-ai-companion/id6739737481?uo=4,Caleb Mathew,Reference,4+,0,True,4.66667,30,other,False,,True,Apple,False,,False,True,,Free,"en, uk"
ios,com.lyao.komee,Komee: AI Fantasy Roleplay,https://apps.apple.com/us/app/komee-ai-fantasy-roleplay/id6755152093?uo=4,垚 刘,Entertainment,17+,0,True,3.58824,17,companion,False,,True,Discord,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.prospinity.daimonapp,Daimon: your personal genie,https://apps.apple.com/us/app/daimon-your-personal-genie/id6752447819?uo=4,Prospinity Inc,"Lifestyle, Utilities",9+,0,True,4.91789,1766,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,pacificcloudsolutions.aichipmunk,AI Chipmunk,https://apps.apple.com/us/app/ai-chipmunk/id6751478863?uo=4,Jason Cornell,"Education, Entertainment",4+,0,True,5,1,general_purpose,False,,True,"Apple, Google",False,,False,True,,Free,en
ios,com.mobileawareservices.chatconnect,ChatConnect - AI Assistant,https://apps.apple.com/us/app/chatconnect-ai-assistant/id6738693379?uo=4,Mobile Aware Services,"Productivity, Utilities",12+,0,True,4.68065,310,general_purpose,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"ar, nl, en, fi, fr, de, ja, nb, pt, ro, es, tr"
ios,edu.mit.appinventor.aicompanion3,MIT App Inventor,https://apps.apple.com/us/app/mit-app-inventor/id1422709355?uo=4,Massachusetts Institute of Technology,Education,4+,0,True,1.92121,825,other,True,https://appinventor.mit.edu,True,"email/password, Google",False,,False,True,No paid subscription - free (educational tool),Free,en
ios,com.Ai-writer.gpt3,Chat Unlimited & Ask Brutus AI,https://apps.apple.com/us/app/chat-unlimited-ask-brutus-ai/id6443925235?uo=4,Aryan Chaurasia,"Education, Productivity",4+,0,True,4.53728,912,general_purpose,False,,True,"Apple, Google, email/password",False,,False,True,,Free,"ar, bg, ca, hr, cs, da, nl, en, fi, fr, de, el, he, hi, hu"
ios,com.friendlist.symph,Friendlist: AI Companions,https://apps.apple.com/us/app/friendlist-ai-companions/id6448280768?uo=4,"Symph, Inc.","Entertainment, Social Networking",4+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",$49.99/month,en
ios,ai.mykin.app,Kin: Personal AI Advisors,https://apps.apple.com/us/app/kin-personal-ai-advisors/id6473448146?uo=4,Kin AI ApS,"Productivity, Lifestyle",17+,0,True,4.5549,173,other,False,,True,"Apple, Discord",True,self-declaration (date of birth),False,True,,Free,en
ios,com.niahchat.app,Niah,https://apps.apple.com/us/app/niah/id6759682963?uo=4,ineedthis inc.,"Productivity, Business",4+,0,True,5,4,general_purpose,False,,True,Google,False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,uo.frenzo.tb.mtt,"Frenzo - Chat, Connect & Cheer",https://apps.apple.com/us/app/frenzo-chat-connect-cheer/id6751625136?uo=4,利平 刘,Lifestyle,17+,0,True,4.82143,28,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.two.zappy,ZAPPY - AI Friends,https://apps.apple.com/us/app/zappy-ai-friends/id6463830917?uo=4,Numeric Machines,"Entertainment, Photo & Video",12+,0,True,4.23332,30,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
android,ai.boyfriend.virtual.dating.lover.iboy,Anima: My Virtual AI Boyfriend,https://play.google.com/store/apps/details?id=ai.boyfriend.virtual.dating.lover.iboy&hl=en&gl=us,LABANE CORP. Limited,Entertainment,Mature 17+,0,True,3.9825175,988,companion,True,https://myanima.ai,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice messages, relationship modes",$9.99/month,"en, es, pt, fr, de, ja, ko, zh, it, ru"
android,aiboy.companion.app,AIBoy - Virtual AI Boyfriend,https://play.google.com/store/apps/details?id=aiboy.companion.app&hl=en&gl=us,Life Plus Fitness,Entertainment,Mature 17+,0,True,4.605769,19,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
android,com.weaver.app.prod,Talkie: Creative AI Community,https://play.google.com/store/apps/details?id=com.weaver.app.prod&hl=en&gl=us,SUBSUP,Entertainment,Teen,0,True,4.5411787,67028,companion,True,https://www.talkie-ai.com,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice calls, exclusive characters, creator program",$9.99/month,"en, zh, ja, ko, es, fr, de, pt, ru"
android,ai.boyfriend.imate.virtual.companion,Imate - AI boyfriend who cares,https://play.google.com/store/apps/details?id=ai.boyfriend.imate.virtual.companion&hl=en&gl=us,TDevelopersIndia,Entertainment,Everyone,0,True,4.1923075,12,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,ai.boyfriend,AI Boyfriend,https://play.google.com/store/apps/details?id=ai.boyfriend&hl=en&gl=us,6Hive OU,Entertainment,Teen,0,True,3.7686567,186,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
android,com.intimaiforwoman,AI Boyfriend 18+,https://play.google.com/store/apps/details?id=com.intimaiforwoman&hl=en&gl=us,Controle o Bruxismo e a Ansiedade,Entertainment,Mature 17+,0,True,,,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
android,com.thirtythreeapps.jackchatbot,Jack - AI Boyfriend,https://play.google.com/store/apps/details?id=com.thirtythreeapps.jackchatbot&hl=en&gl=us,Thirty Three Apps,Communication,Everyone,0,True,4.148148,19,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
android,ai.socialapps.speakmaster,PolyBuzz: Chat with AI Friends,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster&hl=en&gl=us,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,Entertainment,Mature 17+,0,True,3.893384,50634,companion,True,https://www.polybuzz.ai,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice chat, image generation, coin system",$9.99/month,"en, zh, ja, ko, es, fr, de, pt"
android,love.boyfriendsimulator.app,Boyfriend Ai,https://play.google.com/store/apps/details?id=love.boyfriendsimulator.app&hl=en&gl=us,WhatsGood,Entertainment,Mature 17+,0,True,,,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
android,com.perfect.boyai,HalFind-My Perfect Boy,https://play.google.com/store/apps/details?id=com.perfect.boyai&hl=en&gl=us,FineTip Apps,Entertainment,Mature 17+,0,True,4.597701,543,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
